date,EM,RTWQ,IPO,PWO,DC,RMWMO,CCE,MM,EF,ECo,HM,EI,ESubC,RDWO,EH,ESupC,MF,PF,PM,RCWP,EC
2015-09-23,21,18,18,18,18,21,18,15,0,0,0,12,12,12,12,12,12,12,12,15,0
2015-09-25,21,18,18,18,18,21,18,15,0,0,0,12,12,12,12,12,12,12,12,15,0
2015-09-26,1172,1052,1052,1052,1052,1130,1052,828,23,23,23,727,727,727,727,727,727,727,727,805,19
2015-09-27,1191,1071,1071,1071,1071,1149,1071,837,23,23,23,736,736,736,736,736,736,736,736,814,19
2015-09-29,4,3,3,3,3,4,3,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-05,8,8,8,8,8,8,8,6,0,0,0,6,6,6,6,6,6,6,6,6,0
2015-10-14,10,7,7,7,7,9,7,4,0,0,0,2,2,2,2,2,2,2,2,4,1
2015-10-16,552,494,494,494,494,537,494,435,7,7,7,385,385,385,385,385,385,385,385,428,8
2015-10-20,461,413,413,413,413,452,413,352,1,1,1,312,312,312,312,312,312,312,312,351,8
2015-10-22,3,2,2,2,2,3,2,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-23,3,2,2,2,2,3,2,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-26,62,54,54,54,54,61,54,63,1,1,1,55,55,55,55,55,55,55,55,62,0
2015-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-29,7,5,5,5,5,6,5,9,1,1,1,7,7,7,7,7,7,7,7,8,0
2015-10-31,1349,1217,1217,1217,1217,1301,1217,910,27,27,27,799,799,799,799,799,799,799,799,883,21
2015-11-01,440,394,394,394,394,429,394,332,3,3,3,294,294,294,294,294,294,294,294,329,8
2015-11-05,1,1,1,1,1,1,1,2,0,0,0,2,2,2,2,2,2,2,2,2,0
2015-11-07,11,9,9,9,9,11,9,13,0,0,0,11,11,11,11,11,11,11,11,13,0
2015-11-09,11,9,9,9,9,11,9,13,0,0,0,11,11,11,11,11,11,11,11,13,0
2015-11-12,6,5,5,5,5,6,5,10,0,0,0,9,9,9,9,9,9,9,9,10,0
2015-11-13,6,5,5,5,5,6,5,10,0,0,0,9,9,9,9,9,9,9,9,10,0
2015-11-15,5,4,4,4,4,5,4,9,0,0,0,8,8,8,8,8,8,8,8,9,0
2015-11-16,2,1,1,1,1,2,1,2,0,0,0,1,1,1,1,1,1,1,1,2,0
2015-11-18,1418,1281,1281,1281,1281,1368,1281,970,28,28,28,855,855,855,855,855,855,855,855,942,22
2015-11-19,1330,1201,1201,1201,1201,1281,1201,890,28,28,28,782,782,782,782,782,782,782,782,862,21
2015-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-21,1422,1284,1284,1284,1284,1372,1284,973,28,28,28,857,857,857,857,857,857,857,857,945,22
2015-11-22,1426,1288,1288,1288,1288,1376,1288,988,28,28,28,872,872,872,872,872,872,872,872,960,22
2015-11-29,1434,1294,1294,1294,1294,1384,1294,998,28,28,28,880,880,880,880,880,880,880,880,970,22
2015-12-05,1447,1304,1304,1304,1304,1397,1304,1012,28,28,28,891,891,891,891,891,891,891,891,984,22
2015-12-10,1456,1314,1314,1314,1314,1406,1314,1012,28,28,28,892,892,892,892,892,892,892,892,984,22
2015-12-21,244,221,221,221,221,238,221,161,1,1,1,143,143,143,143,143,143,143,143,160,5
2015-12-22,161,142,142,142,142,153,142,116,5,5,5,100,100,100,100,100,100,100,100,111,3
2015-12-23,131,117,117,117,117,127,117,85,1,1,1,74,74,74,74,74,74,74,74,84,3
2015-12-24,995,900,900,900,900,956,900,643,24,24,24,563,563,563,563,563,563,563,563,619,15
2015-12-25,127,114,114,114,114,123,114,82,1,1,1,72,72,72,72,72,72,72,72,81,3
2015-12-27,1243,1124,1124,1124,1124,1197,1124,861,28,28,28,760,760,760,760,760,760,760,760,833,18
2016-01-22,960,871,871,871,871,921,871,619,25,25,25,544,544,544,544,544,544,544,544,594,14
2016-05-14,636,585,585,585,585,620,585,434,11,11,11,388,388,388,388,388,388,388,388,423,5
2016-05-21,654,603,603,603,603,639,603,441,10,10,10,395,395,395,395,395,395,395,395,431,5
2016-06-25,607,561,561,561,561,594,561,406,9,9,9,364,364,364,364,364,364,364,364,397,4
2015-06-16,12,12,12,12,12,12,12,3,0,0,0,3,3,3,3,3,3,3,3,3,0
2015-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,1047,940,940,940,940,1015,940,757,18,18,18,664,664,664,664,664,664,664,664,739,14
2015-07-16,8,7,7,7,7,8,7,11,0,0,0,10,10,10,10,10,10,10,10,11,0
2015-07-22,7,6,6,6,6,7,6,11,0,0,0,10,10,10,10,10,10,10,10,11,0
2015-07-25,316,288,288,288,288,311,288,230,3,3,3,204,204,204,204,204,204,204,204,227,2
2015-07-26,5,4,4,4,4,5,4,4,0,0,0,3,3,3,3,3,3,3,3,4,0
2015-07-27,5,4,4,4,4,5,4,4,0,0,0,3,3,3,3,3,3,3,3,4,0
2015-07-29,1122,1012,1012,1012,1012,1088,1012,803,19,19,19,708,708,708,708,708,708,708,708,784,15
2015-08-03,21,17,17,17,17,19,17,18,1,1,1,15,15,15,15,15,15,15,15,17,1
2015-08-07,1047,934,934,934,934,1010,934,758,19,19,19,663,663,663,663,663,663,663,663,739,18
2015-08-09,103,98,98,98,98,103,98,64,0,0,0,59,59,59,59,59,59,59,59,64,0
2015-08-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,79,75,75,75,75,79,75,52,0,0,0,48,48,48,48,48,48,48,48,52,0
2015-08-24,884,786,786,786,786,855,786,640,16,16,16,555,555,555,555,555,555,555,555,624,13
2015-09-02,16,15,15,15,15,16,15,7,0,0,0,6,6,6,6,6,6,6,6,7,0
2015-09-05,4,4,4,4,4,4,4,1,0,0,0,1,1,1,1,1,1,1,1,1,0
2015-09-06,25,22,22,22,22,25,22,16,0,0,0,13,13,13,13,13,13,13,13,16,0
2015-09-08,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,126,109,109,109,109,123,109,108,2,2,2,92,92,92,92,92,92,92,92,106,1
2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,21,18,18,18,18,21,18,15,0,0,0,12,12,12,12,12,12,12,12,15,0
2015-09-25,21,18,18,18,18,21,18,15,0,0,0,12,12,12,12,12,12,12,12,15,0
2015-09-26,1172,1052,1052,1052,1052,1130,1052,828,23,23,23,727,727,727,727,727,727,727,727,805,19
2015-09-27,1191,1071,1071,1071,1071,1149,1071,837,23,23,23,736,736,736,736,736,736,736,736,814,19
2015-09-29,4,3,3,3,3,4,3,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-05,8,8,8,8,8,8,8,6,0,0,0,6,6,6,6,6,6,6,6,6,0
2015-10-14,10,7,7,7,7,9,7,4,0,0,0,2,2,2,2,2,2,2,2,4,1
2015-10-16,552,494,494,494,494,537,494,435,7,7,7,385,385,385,385,385,385,385,385,428,8
2015-10-20,461,413,413,413,413,452,413,352,1,1,1,312,312,312,312,312,312,312,312,351,8
2015-10-22,3,2,2,2,2,3,2,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-06-16,12,12,12,12,12,12,12,3,0,0,0,3,3,3,3,3,3,3,3,3,0
2015-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,1047,940,940,940,940,1015,940,757,18,18,18,664,664,664,664,664,664,664,664,739,14
2015-07-16,8,7,7,7,7,8,7,11,0,0,0,10,10,10,10,10,10,10,10,11,0
2015-07-22,7,6,6,6,6,7,6,11,0,0,0,10,10,10,10,10,10,10,10,11,0
2015-07-25,316,288,288,288,288,311,288,230,3,3,3,204,204,204,204,204,204,204,204,227,2
2015-07-26,5,4,4,4,4,5,4,4,0,0,0,3,3,3,3,3,3,3,3,4,0
2015-07-27,5,4,4,4,4,5,4,4,0,0,0,3,3,3,3,3,3,3,3,4,0
2015-07-29,1122,1012,1012,1012,1012,1088,1012,803,19,19,19,708,708,708,708,708,708,708,708,784,15
2015-08-03,21,17,17,17,17,19,17,18,1,1,1,15,15,15,15,15,15,15,15,17,1
2015-08-07,1047,934,934,934,934,1010,934,758,19,19,19,663,663,663,663,663,663,663,663,739,18
2015-08-09,103,98,98,98,98,103,98,64,0,0,0,59,59,59,59,59,59,59,59,64,0
2015-08-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,79,75,75,75,75,79,75,52,0,0,0,48,48,48,48,48,48,48,48,52,0
2015-08-24,884,786,786,786,786,855,786,640,16,16,16,555,555,555,555,555,555,555,555,624,13
2015-09-02,16,15,15,15,15,16,15,7,0,0,0,6,6,6,6,6,6,6,6,7,0
2015-09-05,4,4,4,4,4,4,4,1,0,0,0,1,1,1,1,1,1,1,1,1,0
2015-09-06,25,22,22,22,22,25,22,16,0,0,0,13,13,13,13,13,13,13,13,16,0
2015-09-08,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,126,109,109,109,109,123,109,108,2,2,2,92,92,92,92,92,92,92,92,106,1
2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,21,18,18,18,18,21,18,15,0,0,0,12,12,12,12,12,12,12,12,15,0
2015-09-25,21,18,18,18,18,21,18,15,0,0,0,12,12,12,12,12,12,12,12,15,0
2015-09-26,1172,1052,1052,1052,1052,1130,1052,828,23,23,23,727,727,727,727,727,727,727,727,805,19
2015-09-27,1191,1071,1071,1071,1071,1149,1071,837,23,23,23,736,736,736,736,736,736,736,736,814,19
2015-09-29,4,3,3,3,3,4,3,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-05,8,8,8,8,8,8,8,6,0,0,0,6,6,6,6,6,6,6,6,6,0
2015-10-14,10,7,7,7,7,9,7,4,0,0,0,2,2,2,2,2,2,2,2,4,1
2015-10-16,552,494,494,494,494,537,494,435,7,7,7,385,385,385,385,385,385,385,385,428,8
2015-10-20,461,413,413,413,413,452,413,352,1,1,1,312,312,312,312,312,312,312,312,351,8
2015-10-22,3,2,2,2,2,3,2,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-23,3,2,2,2,2,3,2,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-26,62,54,54,54,54,61,54,63,1,1,1,55,55,55,55,55,55,55,55,62,0
2015-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-29,7,5,5,5,5,6,5,9,1,1,1,7,7,7,7,7,7,7,7,8,0
2015-10-31,1349,1217,1217,1217,1217,1301,1217,910,27,27,27,799,799,799,799,799,799,799,799,883,21
2015-11-01,440,394,394,394,394,429,394,332,3,3,3,294,294,294,294,294,294,294,294,329,8
2015-11-05,1,1,1,1,1,1,1,2,0,0,0,2,2,2,2,2,2,2,2,2,0
2015-11-07,11,9,9,9,9,11,9,13,0,0,0,11,11,11,11,11,11,11,11,13,0
2015-11-09,11,9,9,9,9,11,9,13,0,0,0,11,11,11,11,11,11,11,11,13,0
2015-11-12,6,5,5,5,5,6,5,10,0,0,0,9,9,9,9,9,9,9,9,10,0
2015-11-13,6,5,5,5,5,6,5,10,0,0,0,9,9,9,9,9,9,9,9,10,0
2015-11-15,5,4,4,4,4,5,4,9,0,0,0,8,8,8,8,8,8,8,8,9,0
2015-11-16,2,1,1,1,1,2,1,2,0,0,0,1,1,1,1,1,1,1,1,2,0
2015-11-18,1418,1281,1281,1281,1281,1368,1281,970,28,28,28,855,855,855,855,855,855,855,855,942,22
2015-11-19,1330,1201,1201,1201,1201,1281,1201,890,28,28,28,782,782,782,782,782,782,782,782,862,21
2015-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-21,1422,1284,1284,1284,1284,1372,1284,973,28,28,28,857,857,857,857,857,857,857,857,945,22
2015-11-22,1426,1288,1288,1288,1288,1376,1288,988,28,28,28,872,872,872,872,872,872,872,872,960,22
2015-11-29,1434,1294,1294,1294,1294,1384,1294,998,28,28,28,880,880,880,880,880,880,880,880,970,22
2015-12-05,1447,1304,1304,1304,1304,1397,1304,1012,28,28,28,891,891,891,891,891,891,891,891,984,22
2015-12-10,1456,1314,1314,1314,1314,1406,1314,1012,28,28,28,892,892,892,892,892,892,892,892,984,22
2015-12-21,244,221,221,221,221,238,221,161,1,1,1,143,143,143,143,143,143,143,143,160,5
2015-12-22,161,142,142,142,142,153,142,116,5,5,5,100,100,100,100,100,100,100,100,111,3
2015-12-23,131,117,117,117,117,127,117,85,1,1,1,74,74,74,74,74,74,74,74,84,3
2015-12-24,995,900,900,900,900,956,900,643,24,24,24,563,563,563,563,563,563,563,563,619,15
2015-12-25,127,114,114,114,114,123,114,82,1,1,1,72,72,72,72,72,72,72,72,81,3
2015-12-27,1243,1124,1124,1124,1124,1197,1124,861,28,28,28,760,760,760,760,760,760,760,760,833,18
2016-01-22,960,871,871,871,871,921,871,619,25,25,25,544,544,544,544,544,544,544,544,594,14
2016-05-14,636,585,585,585,585,620,585,434,11,11,11,388,388,388,388,388,388,388,388,423,5
2016-05-21,654,603,603,603,603,639,603,441,10,10,10,395,395,395,395,395,395,395,395,431,5
2016-06-25,607,561,561,561,561,594,561,406,9,9,9,364,364,364,364,364,364,364,364,397,4
2015-10-22,3,2,2,2,2,3,2,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-23,3,2,2,2,2,3,2,5,0,0,0,4,4,4,4,4,4,4,4,5,0
2015-10-26,62,54,54,54,54,61,54,63,1,1,1,55,55,55,55,55,55,55,55,62,0
2015-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-29,7,5,5,5,5,6,5,9,1,1,1,7,7,7,7,7,7,7,7,8,0
2015-10-31,1349,1217,1217,1217,1217,1301,1217,910,27,27,27,799,799,799,799,799,799,799,799,883,21
2015-11-01,440,394,394,394,394,429,394,332,3,3,3,294,294,294,294,294,294,294,294,329,8
2015-11-05,1,1,1,1,1,1,1,2,0,0,0,2,2,2,2,2,2,2,2,2,0
2015-11-07,11,9,9,9,9,11,9,13,0,0,0,11,11,11,11,11,11,11,11,13,0
2015-11-09,11,9,9,9,9,11,9,13,0,0,0,11,11,11,11,11,11,11,11,13,0
2015-11-12,6,5,5,5,5,6,5,10,0,0,0,9,9,9,9,9,9,9,9,10,0
2015-11-13,6,5,5,5,5,6,5,10,0,0,0,9,9,9,9,9,9,9,9,10,0
2015-11-15,5,4,4,4,4,5,4,9,0,0,0,8,8,8,8,8,8,8,8,9,0
2015-11-16,2,1,1,1,1,2,1,2,0,0,0,1,1,1,1,1,1,1,1,2,0
2015-11-18,1418,1281,1281,1281,1281,1368,1281,970,28,28,28,855,855,855,855,855,855,855,855,942,22
2015-11-19,1330,1201,1201,1201,1201,1281,1201,890,28,28,28,782,782,782,782,782,782,782,782,862,21
2015-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-21,1422,1284,1284,1284,1284,1372,1284,973,28,28,28,857,857,857,857,857,857,857,857,945,22
2015-11-22,1426,1288,1288,1288,1288,1376,1288,988,28,28,28,872,872,872,872,872,872,872,872,960,22
2015-11-29,1434,1294,1294,1294,1294,1384,1294,998,28,28,28,880,880,880,880,880,880,880,880,970,22
2015-12-05,1447,1304,1304,1304,1304,1397,1304,1012,28,28,28,891,891,891,891,891,891,891,891,984,22
2015-12-10,1456,1314,1314,1314,1314,1406,1314,1012,28,28,28,892,892,892,892,892,892,892,892,984,22
2015-12-21,244,221,221,221,221,238,221,161,1,1,1,143,143,143,143,143,143,143,143,160,5
2015-12-22,161,142,142,142,142,153,142,116,5,5,5,100,100,100,100,100,100,100,100,111,3
2015-12-23,131,117,117,117,117,127,117,85,1,1,1,74,74,74,74,74,74,74,74,84,3
2015-12-24,995,900,900,900,900,956,900,643,24,24,24,563,563,563,563,563,563,563,563,619,15
2015-12-25,127,114,114,114,114,123,114,82,1,1,1,72,72,72,72,72,72,72,72,81,3
2015-12-27,1243,1124,1124,1124,1124,1197,1124,861,28,28,28,760,760,760,760,760,760,760,760,833,18
2016-01-22,960,871,871,871,871,921,871,619,25,25,25,544,544,544,544,544,544,544,544,594,14
2016-05-14,636,585,585,585,585,620,585,434,11,11,11,388,388,388,388,388,388,388,388,423,5
2016-05-21,654,603,603,603,603,639,603,441,10,10,10,395,395,395,395,395,395,395,395,431,5
2016-06-25,607,561,561,561,561,594,561,406,9,9,9,364,364,364,364,364,364,364,364,397,4
